"Step","inrl-balance-ema-v1 - eval/black_vs_baseline","inrl-balance-ema-v1 - eval/black_vs_baseline__MIN","inrl-balance-ema-v1 - eval/black_vs_baseline__MAX"
"305","0.791015625","0.791015625","0.791015625"
"310","0.767578125","0.767578125","0.767578125"
"315","0.818359375","0.818359375","0.818359375"
"320","0.814453125","0.814453125","0.814453125"
"325","0.806640625","0.806640625","0.806640625"
"330","0.8359375","0.8359375","0.8359375"
"335","0.806640625","0.806640625","0.806640625"
"340","0.841796875","0.841796875","0.841796875"
"345","0.8203125","0.8203125","0.8203125"
"350","0.814453125","0.814453125","0.814453125"
"355","0.802734375","0.802734375","0.802734375"
"360","0.814453125","0.814453125","0.814453125"
"365","0.791015625","0.791015625","0.791015625"
"370","0.822265625","0.822265625","0.822265625"
"375","0.822265625","0.822265625","0.822265625"
"380","0.822265625","0.822265625","0.822265625"
"385","0.822265625","0.822265625","0.822265625"
"390","0.798828125","0.798828125","0.798828125"
"395","0.818359375","0.818359375","0.818359375"
"400","0.80859375","0.80859375","0.80859375"
"405","0.7890625","0.7890625","0.7890625"
"410","0.8203125","0.8203125","0.8203125"
"415","0.791015625","0.791015625","0.791015625"
"420","0.7890625","0.7890625","0.7890625"
"425","0.787109375","0.787109375","0.787109375"
"430","0.814453125","0.814453125","0.814453125"
"435","0.779296875","0.779296875","0.779296875"
"440","0.798828125","0.798828125","0.798828125"
"445","0.810546875","0.810546875","0.810546875"
"450","0.802734375","0.802734375","0.802734375"
"455","0.80859375","0.80859375","0.80859375"
"460","0.8203125","0.8203125","0.8203125"
"465","0.79296875","0.79296875","0.79296875"
"470","0.798828125","0.798828125","0.798828125"
"475","0.80078125","0.80078125","0.80078125"
"480","0.791015625","0.791015625","0.791015625"
"485","0.76953125","0.76953125","0.76953125"
"490","0.79296875","0.79296875","0.79296875"
"495","0.767578125","0.767578125","0.767578125"
"500","0.751953125","0.751953125","0.751953125"
"505","0.775390625","0.775390625","0.775390625"
"510","0.79296875","0.79296875","0.79296875"
"515","0.759765625","0.759765625","0.759765625"
"520","0.755859375","0.755859375","0.755859375"
"525","0.822265625","0.822265625","0.822265625"
"530","0.83984375","0.83984375","0.83984375"
"535","0.806640625","0.806640625","0.806640625"
"540","0.732421875","0.732421875","0.732421875"
"545","0.79296875","0.79296875","0.79296875"
"550","0.744140625","0.744140625","0.744140625"
"555","0.759765625","0.759765625","0.759765625"
"560","0.732421875","0.732421875","0.732421875"
"565","0.748046875","0.748046875","0.748046875"
"570","0.732421875","0.732421875","0.732421875"
"575","0.724609375","0.724609375","0.724609375"
"580","0.685546875","0.685546875","0.685546875"
"585","0.712890625","0.712890625","0.712890625"
"590","0.728515625","0.728515625","0.728515625"
"595","0.716796875","0.716796875","0.716796875"
"600","0.712890625","0.712890625","0.712890625"
"605","0.71484375","0.71484375","0.71484375"
"610","0.71875","0.71875","0.71875"
"615","0.7265625","0.7265625","0.7265625"
"620","0.71484375","0.71484375","0.71484375"
"625","0.73828125","0.73828125","0.73828125"
"630","0.744140625","0.744140625","0.744140625"
"635","0.736328125","0.736328125","0.736328125"
"640","0.748046875","0.748046875","0.748046875"
"645","0.765625","0.765625","0.765625"
"650","0.744140625","0.744140625","0.744140625"
"655","0.740234375","0.740234375","0.740234375"
"660","0.7421875","0.7421875","0.7421875"
"665","0.736328125","0.736328125","0.736328125"
"670","0.697265625","0.697265625","0.697265625"
"675","0.744140625","0.744140625","0.744140625"
"680","0.734375","0.734375","0.734375"
"685","0.744140625","0.744140625","0.744140625"
"690","0.7578125","0.7578125","0.7578125"
"695","0.734375","0.734375","0.734375"
"700","0.75390625","0.75390625","0.75390625"
"705","0.763671875","0.763671875","0.763671875"
"710","0.787109375","0.787109375","0.787109375"
