"Step","inrl-temporal-6 - eval/black_vs_baseline","inrl-temporal-6 - eval/black_vs_baseline__MIN","inrl-temporal-6 - eval/black_vs_baseline__MAX"
"2000","0.630859375","0.630859375","0.630859375"
"2005","0.603515625","0.603515625","0.603515625"
"2010","0.6171875","0.6171875","0.6171875"
"2015","0.646484375","0.646484375","0.646484375"
"2020","0.625","0.625","0.625"
"2025","0.625","0.625","0.625"
"2030","0.611328125","0.611328125","0.611328125"
"2035","0.626953125","0.626953125","0.626953125"
"2040","0.6484375","0.6484375","0.6484375"
"2045","0.6796875","0.6796875","0.6796875"
"2050","0.66015625","0.66015625","0.66015625"
"2055","0.69921875","0.69921875","0.69921875"
"2060","0.6796875","0.6796875","0.6796875"
"2065","0.662109375","0.662109375","0.662109375"
"2070","0.69140625","0.69140625","0.69140625"
"2075","0.64453125","0.64453125","0.64453125"
"2080","0.6171875","0.6171875","0.6171875"
"2085","0.63671875","0.63671875","0.63671875"
"2090","0.634765625","0.634765625","0.634765625"
"2095","0.66015625","0.66015625","0.66015625"
"2100","0.634765625","0.634765625","0.634765625"
"2105","0.662109375","0.662109375","0.662109375"
"2110","0.630859375","0.630859375","0.630859375"
"2115","0.662109375","0.662109375","0.662109375"
"2120","0.705078125","0.705078125","0.705078125"
"2125","0.6640625","0.6640625","0.6640625"
"2130","0.666015625","0.666015625","0.666015625"
"2135","0.658203125","0.658203125","0.658203125"
"2140","0.685546875","0.685546875","0.685546875"
"2145","0.654296875","0.654296875","0.654296875"
"2150","0.681640625","0.681640625","0.681640625"
"2155","0.650390625","0.650390625","0.650390625"
"2160","0.6875","0.6875","0.6875"
"2165","0.67578125","0.67578125","0.67578125"
"2170","0.65234375","0.65234375","0.65234375"
"2175","0.68359375","0.68359375","0.68359375"
"2180","0.650390625","0.650390625","0.650390625"
"2185","0.673828125","0.673828125","0.673828125"
"2190","0.71484375","0.71484375","0.71484375"
"2195","0.669921875","0.669921875","0.669921875"
"2200","0.658203125","0.658203125","0.658203125"
"2205","0.671875","0.671875","0.671875"
"2210","0.677734375","0.677734375","0.677734375"
"2215","0.6640625","0.6640625","0.6640625"
"2220","0.662109375","0.662109375","0.662109375"
"2225","0.681640625","0.681640625","0.681640625"
"2230","0.685546875","0.685546875","0.685546875"
"2235","0.6796875","0.6796875","0.6796875"
"2240","0.693359375","0.693359375","0.693359375"
"2245","0.7109375","0.7109375","0.7109375"
"2250","0.6875","0.6875","0.6875"
"2255","0.67578125","0.67578125","0.67578125"
"2260","0.63671875","0.63671875","0.63671875"
"2265","0.630859375","0.630859375","0.630859375"
"2270","0.68359375","0.68359375","0.68359375"
"2275","0.697265625","0.697265625","0.697265625"
"2280","0.677734375","0.677734375","0.677734375"
"2285","0.658203125","0.658203125","0.658203125"
"2290","0.65625","0.65625","0.65625"
"2295","0.69921875","0.69921875","0.69921875"
"2300","0.681640625","0.681640625","0.681640625"
"2305","0.666015625","0.666015625","0.666015625"
"2310","0.66015625","0.66015625","0.66015625"
"2315","0.654296875","0.654296875","0.654296875"
"2320","0.69140625","0.69140625","0.69140625"
"2325","0.7109375","0.7109375","0.7109375"
"2330","0.666015625","0.666015625","0.666015625"
"2335","0.65625","0.65625","0.65625"
"2340","0.720703125","0.720703125","0.720703125"
"2345","0.666015625","0.666015625","0.666015625"
"2350","0.67578125","0.67578125","0.67578125"
"2355","0.662109375","0.662109375","0.662109375"
"2360","0.703125","0.703125","0.703125"
"2365","0.71875","0.71875","0.71875"
"2370","0.7109375","0.7109375","0.7109375"
"2375","0.705078125","0.705078125","0.705078125"
"2380","0.69921875","0.69921875","0.69921875"
"2385","0.732421875","0.732421875","0.732421875"
"2390","0.7109375","0.7109375","0.7109375"
"2395","0.693359375","0.693359375","0.693359375"
"2400","0.7109375","0.7109375","0.7109375"
"2405","0.69921875","0.69921875","0.69921875"
"2410","0.7265625","0.7265625","0.7265625"
"2415","0.701171875","0.701171875","0.701171875"
"2420","0.646484375","0.646484375","0.646484375"
"2425","0.697265625","0.697265625","0.697265625"
"2430","0.677734375","0.677734375","0.677734375"
"2435","0.625","0.625","0.625"
"2440","0.708984375","0.708984375","0.708984375"
"2445","0.6875","0.6875","0.6875"
"2450","0.708984375","0.708984375","0.708984375"
"2455","0.654296875","0.654296875","0.654296875"
"2460","0.708984375","0.708984375","0.708984375"
