"Step","inrl - no - pretrained - action - pruning - v1 - eval/black_vs_baseline","inrl - no - pretrained - action - pruning - v1 - eval/black_vs_baseline__MIN","inrl - no - pretrained - action - pruning - v1 - eval/black_vs_baseline__MAX"
"1295","0.66796875","0.66796875","0.66796875"
"1300","0.681640625","0.681640625","0.681640625"
"1305","0.708984375","0.708984375","0.708984375"
"1310","0.673828125","0.673828125","0.673828125"
"1315","0.646484375","0.646484375","0.646484375"
"1320","0.658203125","0.658203125","0.658203125"
"1325","0.677734375","0.677734375","0.677734375"
"1330","0.67578125","0.67578125","0.67578125"
"1335","0.697265625","0.697265625","0.697265625"
"1340","0.705078125","0.705078125","0.705078125"
"1345","0.671875","0.671875","0.671875"
"1350","0.66796875","0.66796875","0.66796875"
"1355","0.6796875","0.6796875","0.6796875"
"1360","0.65234375","0.65234375","0.65234375"
"1365","0.65234375","0.65234375","0.65234375"
"1370","0.630859375","0.630859375","0.630859375"
"1375","0.666015625","0.666015625","0.666015625"
"1380","0.73046875","0.73046875","0.73046875"
"1385","0.611328125","0.611328125","0.611328125"
"1390","0.6640625","0.6640625","0.6640625"
"1395","0.71875","0.71875","0.71875"
"1400","0.7578125","0.7578125","0.7578125"
"1405","0.689453125","0.689453125","0.689453125"
"1410","0.693359375","0.693359375","0.693359375"
"1415","0.697265625","0.697265625","0.697265625"
"1420","0.70703125","0.70703125","0.70703125"
"1425","0.728515625","0.728515625","0.728515625"
"1430","0.771484375","0.771484375","0.771484375"
"1435","0.80078125","0.80078125","0.80078125"
"1440","0.763671875","0.763671875","0.763671875"
"1445","0.751953125","0.751953125","0.751953125"
"1450","0.767578125","0.767578125","0.767578125"
"1455","0.73046875","0.73046875","0.73046875"
"1460","0.75","0.75","0.75"
"1465","0.724609375","0.724609375","0.724609375"
"1470","0.767578125","0.767578125","0.767578125"
"1475","0.728515625","0.728515625","0.728515625"
"1480","0.71484375","0.71484375","0.71484375"
"1485","0.740234375","0.740234375","0.740234375"
"1490","0.77734375","0.77734375","0.77734375"
"1495","0.748046875","0.748046875","0.748046875"
"1500","0.74609375","0.74609375","0.74609375"
"1505","0.796875","0.796875","0.796875"
"1510","0.7578125","0.7578125","0.7578125"
"1515","0.787109375","0.787109375","0.787109375"
"1520","0.79296875","0.79296875","0.79296875"
"1525","0.74609375","0.74609375","0.74609375"
"1530","0.759765625","0.759765625","0.759765625"
"1535","0.775390625","0.775390625","0.775390625"
"1540","0.8046875","0.8046875","0.8046875"
"1545","0.802734375","0.802734375","0.802734375"
"1550","0.779296875","0.779296875","0.779296875"
"1555","0.740234375","0.740234375","0.740234375"
"1560","0.78515625","0.78515625","0.78515625"
"1565","0.82421875","0.82421875","0.82421875"
"1570","0.8203125","0.8203125","0.8203125"
"1575","0.814453125","0.814453125","0.814453125"
"1580","0.775390625","0.775390625","0.775390625"
"1585","0.84765625","0.84765625","0.84765625"
"1590","0.8125","0.8125","0.8125"
"1595","0.740234375","0.740234375","0.740234375"
"1600","0.71484375","0.71484375","0.71484375"
"1605","0.76953125","0.76953125","0.76953125"
"1610","0.75","0.75","0.75"
"1615","0.748046875","0.748046875","0.748046875"
"1620","0.71875","0.71875","0.71875"
"1625","0.7265625","0.7265625","0.7265625"
"1630","0.732421875","0.732421875","0.732421875"
"1635","0.732421875","0.732421875","0.732421875"
"1640","0.6953125","0.6953125","0.6953125"
"1645","0.73828125","0.73828125","0.73828125"
"1650","0.744140625","0.744140625","0.744140625"
"1655","0.755859375","0.755859375","0.755859375"
"1660","0.728515625","0.728515625","0.728515625"
"1665","0.765625","0.765625","0.765625"
"1670","0.8046875","0.8046875","0.8046875"
"1675","0.828125","0.828125","0.828125"
"1680","0.767578125","0.767578125","0.767578125"
"1685","0.791015625","0.791015625","0.791015625"
"1690","0.79296875","0.79296875","0.79296875"
"1695","0.791015625","0.791015625","0.791015625"
"1700","0.796875","0.796875","0.796875"
"1705","0.7734375","0.7734375","0.7734375"
"1710","0.78125","0.78125","0.78125"
"1715","0.7890625","0.7890625","0.7890625"
"1720","0.7265625","0.7265625","0.7265625"
"1725","0.732421875","0.732421875","0.732421875"
"1730","0.759765625","0.759765625","0.759765625"
"1735","0.7109375","0.7109375","0.7109375"
"1740","0.685546875","0.685546875","0.685546875"
"1745","0.666015625","0.666015625","0.666015625"
"1750","0.755859375","0.755859375","0.755859375"
"1755","0.7421875","0.7421875","0.7421875"
"1760","0.728515625","0.728515625","0.728515625"
"1765","0.77734375","0.77734375","0.77734375"
"1770","0.74609375","0.74609375","0.74609375"
"1775","0.798828125","0.798828125","0.798828125"
"1780","0.787109375","0.787109375","0.787109375"
"1785","0.76953125","0.76953125","0.76953125"
"1790","0.728515625","0.728515625","0.728515625"
"1795","0.8046875","0.8046875","0.8046875"
"1800","0.771484375","0.771484375","0.771484375"
"1805","0.775390625","0.775390625","0.775390625"
"1810","0.818359375","0.818359375","0.818359375"
"1815","0.78125","0.78125","0.78125"
"1820","0.78125","0.78125","0.78125"
"1825","0.76171875","0.76171875","0.76171875"
"1830","0.759765625","0.759765625","0.759765625"
"1835","0.806640625","0.806640625","0.806640625"
"1840","0.796875","0.796875","0.796875"
"1845","0.80859375","0.80859375","0.80859375"
"1850","0.80078125","0.80078125","0.80078125"
"1855","0.798828125","0.798828125","0.798828125"
"1860","0.767578125","0.767578125","0.767578125"
"1865","0.783203125","0.783203125","0.783203125"
"1870","0.806640625","0.806640625","0.806640625"
"1875","0.783203125","0.783203125","0.783203125"
"1880","0.736328125","0.736328125","0.736328125"
"1885","0.78125","0.78125","0.78125"
"1890","0.7734375","0.7734375","0.7734375"
"1895","0.78515625","0.78515625","0.78515625"
"1900","0.783203125","0.783203125","0.783203125"
"1905","0.72265625","0.72265625","0.72265625"
"1910","0.76171875","0.76171875","0.76171875"
"1915","0.74609375","0.74609375","0.74609375"
"1920","0.75390625","0.75390625","0.75390625"
"1925","0.724609375","0.724609375","0.724609375"
"1930","0.7578125","0.7578125","0.7578125"
"1935","0.755859375","0.755859375","0.755859375"
"1940","0.70703125","0.70703125","0.70703125"
"1945","0.751953125","0.751953125","0.751953125"
"1950","0.732421875","0.732421875","0.732421875"
"1955","0.80078125","0.80078125","0.80078125"
"1960","0.755859375","0.755859375","0.755859375"
"1965","0.78125","0.78125","0.78125"
"1970","0.765625","0.765625","0.765625"
"1975","0.740234375","0.740234375","0.740234375"
"1980","0.6640625","0.6640625","0.6640625"
"1985","0.720703125","0.720703125","0.720703125"
"1990","0.728515625","0.728515625","0.728515625"
"1995","0.71484375","0.71484375","0.71484375"
